sample	collection_date	region	collection_year	country	host	other
190050	2019-01-31	22	2019	France	swine	
190052	2019-02-01	22	2019	France	swine	
190053	2019-01-29	22	2019	France	swine	
190057	2019-01-24	59	2019	France	swine	
190058	2019-01-22	50	2019	France	swine	
190060	2019-02-05	56	2019	France	swine	
190061	2019-01-31	56	2019	France	swine	
190063	2019-01-24	22	2019	France	swine	
190065	2019-02-04	59	2019	France	swine	
190071	2019-02-11	72	2019	France	swine	
190072	2019-02-06	17	2019	France	swine	
190080	2019-02-20	22	2019	France	swine	
190081	2019-02-19	64	2019	France	swine	
190086	2019-03-01	40	2019	France	swine	
190091	2019-03-01	44	2019	France	swine	
190093	2019-03-06	22	2019	France	swine	
190096	2019-03-12	22	2019	France	swine	
190099	2019-03-12	22	2019	France	swine	
190107	2019-03-21	35	2019	France	swine	
190109	2019-03-21	22	2019	France	swine	
190161	2019-04-12	50	2019	France	swine	
190164	2019-04-23	35	2019	France	swine	
190174	2019-05-02	59	2019	France	swine	
190177	2019-04-26	22	2019	France	swine	
190196	2019-05-15	29	2019	France	swine	
190212	2019-05-14	35	2019	France	swine	
190213	2019-05-13	35	2019	France	swine	
190247	2019-05-15	62	2019	France	swine	
190288	2019-05-06	56	2019	France	swine	
190321	2019-05-28	72	2019	France	swine	
190346	2019-06-13	35	2019	France	swine	
190347	2019-06-19	29	2019	France	swine	
190364	2019-06-18	29	2019	France	swine	
190371	2019-04-27	35	2019	France	swine	
190415	2019-07-03	59	2019	France	swine	
190437	2019-07-31	29	2019	France	swine	
190444	2019-08-05	56	2019	France	swine	
190453	2019-08-28	50	2019	France	swine	
190455	2019-08-28	72	2019	France	swine	
190466	2019-09-04	50	2019	France	swine	
190475	2019-09-19	22	2019	France	swine	
190476	2019-09-09	50	2019	France	swine	
190487	2019-06-04	29	2019	France	swine	
190488	2019-06-17	53	2019	France	swine	
190490	2019-07-12	11	2019	France	swine	
190491	2019-08-21	22	2019	France	swine	
190493	2019-09-19	29	2019	France	swine	
190481	2019-09-24	22	2019	France	swine	
190498	2019-10-06	29	2019	France	swine	
190500	2019-10-08	22	2019	France	swine	
190501	2019-10-15	29	2019	France	swine	
190536	2019-10-24	22	2019	France	swine	
190538	2019-10-28	35	2019	France	swine	
190539	2019-10-31	29	2019	France	swine	
190540	2019-10-29	53	2019	France	swine	
190548	2019-10-24	50	2019	France	swine	
190552	2019-10-30	85	2019	France	swine	
190568	2019-11-12	59	2019	France	swine	
190570	2019-11-19	22	2019	France	swine	
190574	2019-11-19	72	2019	France	swine	
190580	2019-11-26	29	2019	France	swine	
190581	2019-11-26	59	2019	France	swine	
190583	2019-12-10	29	2019	France	swine	
190592	2019-08-13	56	2019	France	swine	
190593	2019-10-17	22	2019	France	swine	
